architecture,training_seed,budget,objective,selection,restart,attack_loss,accuracy_pct,normalized_accuracy,rho_abs,rho_rel_calibration,n_eff,max_layer_share,dominant_layer,entropy_normalized,identity_relative_error,c_L1,c_L2,c_L3,c_L4,c_L5,c_L6,c_L7,c_L8,c_L9,c_L10,c_L11,c_L12
vits,789,0.0095,task_loss,rho_selected,0,3.839507158100605,18.100461893764436,0.22925045703839125,0.12572646444854121,0.08991900636718105,9.462933044965244,0.15211982086302225,3,0.9389943439386289,2.1948601101390574e-16,0.006662433892950726,0.04319436727007373,0.15211982086302225,0.10301684785174105,0.1467672645080156,0.11083610407712755,0.12660375182426456,0.07978653022100585,0.07251187000165442,0.059108883659046776,0.05682093510704223,0.04257119072405522
vits,789,0.01,task_loss,loss_selected,2,4.160414408147335,12.846420323325635,0.16270566727605118,0.13091680050512372,0.09363111155495298,9.683636934703403,0.1486526061332616,3,0.9443056314283149,0.0,0.006150855448094703,0.044370040542178676,0.1486526061332616,0.09864445385743169,0.14278650468181914,0.1076826706971168,0.12390381352611242,0.08021851936489127,0.07434483688441569,0.06244188192797184,0.062349255432675575,0.04845456150403054
vits,789,0.01,task_loss,rho_selected,4,4.160244007408619,12.8175519630485,0.1623400365630713,0.1309478679535938,0.09365333085547213,9.680745407118101,0.1488062373607537,3,0.9442411240746906,0.0,0.006153358811921598,0.04434961733274903,0.1488062373607537,0.09868399721041227,0.14280135238700392,0.1076772893743194,0.12389779543460502,0.08017505413525457,0.07432777787123337,0.06242932723296979,0.062307487091113035,0.04839070575766424
vits,789,0.02,task_loss,loss_selected,1,7.1597532600164415,1.991916859122402,0.025228519195612434,0.09366668802208493,0.06698999732150934,10.499567431807462,0.11529780113300869,9,0.9620650985669884,0.0,0.00977325445868486,0.062142864191027734,0.09425116203432457,0.07241530620130869,0.09013104544848725,0.09899706358156127,0.09863970547929513,0.11077781773170364,0.11529780113300869,0.10731770857548432,0.10608216220483763,0.0341741089602762
vits,789,0.02,task_loss,rho_selected,2,7.159732896089554,1.991916859122402,0.025228519195612434,0.0936891679195802,0.06700607484388998,10.500975123026258,0.11521286086573747,9,0.9621068551086366,1.9762937267151072e-16,0.009803408414667095,0.062170600388860235,0.09440812612143527,0.07241929747754157,0.09010727643791924,0.09904065408539722,0.09864805187601262,0.11073126250712798,0.11521286086573747,0.10724365227407061,0.10605172544789591,0.03416308410333475
vits,789,0.009,task_loss,loss_selected,3,3.4149805165827276,26.125866050808312,0.33089579524680074,0.11885838571784343,0.08500698710516895,9.148169119590207,0.15966589745003085,3,0.9306983301624595,1.2279214917583848e-16,0.007519627998553338,0.041722514402737616,0.15966589745003085,0.10990666821571206,0.14932951681902612,0.11581610402512252,0.1283034277373859,0.07892607971049194,0.06933245394762232,0.055650880968940566,0.04966758290511341,0.03415924581926339
vits,789,0.009,task_loss,rho_selected,3,3.4149805165827276,26.125866050808312,0.33089579524680074,0.11885838571784343,0.08500698710516895,9.148169119590207,0.15966589745003085,3,0.9306983301624595,1.2279214917583848e-16,0.007519627998553338,0.041722514402737616,0.15966589745003085,0.10990666821571206,0.14932951681902612,0.11581610402512252,0.1283034277373859,0.07892607971049194,0.06933245394762232,0.055650880968940566,0.04966758290511341,0.03415924581926339
vits,1213,0.0095,task_loss,loss_selected,1,4.536555829644203,8.775981524249422,0.1110299488677867,0.11521021533112823,0.08504431150893028,10.480474551778482,0.1269494724157204,3,0.9621442588868246,1.306917818463752e-16,0.007938519738456775,0.045982973456221106,0.1269494724157204,0.10882886354043682,0.10711882924045954,0.10236136751044599,0.1129622528531062,0.09289634986699008,0.07031433959025375,0.07665987869126302,0.08306950919492179,0.06491764390172455
vits,1213,0.0095,task_loss,rho_selected,1,4.536555829644203,8.775981524249422,0.1110299488677867,0.11521021533112823,0.08504431150893028,10.480474551778482,0.1269494724157204,3,0.9621442588868246,1.306917818463752e-16,0.007938519738456775,0.045982973456221106,0.1269494724157204,0.10882886354043682,0.10711882924045954,0.10236136751044599,0.1129622528531062,0.09289634986699008,0.07031433959025375,0.07665987869126302,0.08306950919492179,0.06491764390172455
vits,1213,0.01,task_loss,loss_selected,2,4.773137962818145,5.8891454965357966,0.07450693937180423,0.11898360612194013,0.08782970185766295,10.610331229138776,0.12336090848013716,3,0.9646178697729485,1.2253382801693187e-16,0.00748975831409924,0.04808417299718888,0.12336090848013716,0.10770173963508252,0.10729200299219283,0.09665640549482422,0.10910571009612391,0.0911332183560693,0.07371066614548387,0.07810054434423262,0.08515695940540723,0.07220791373915825
vits,1213,0.01,task_loss,rho_selected,4,4.77003977894783,5.8891454965357966,0.07450693937180423,0.11933261488104602,0.08808732840183213,10.605073281019092,0.12388265037179613,3,0.96450526039916,0.0,0.007491484366460654,0.04782913431313002,0.12388265037179613,0.10751847051985752,0.1071361840130763,0.09655365044378929,0.10908801079247311,0.09120371113466144,0.07365644093009865,0.07824689506120372,0.08541780129411161,0.0719755667593416
vits,1213,0.02,task_loss,loss_selected,4,7.83360059261322,2.0785219399538106,0.02629656683710738,0.0918594399597565,0.06780755338856381,10.669871833134449,0.11624865038822739,8,0.9677480008876962,0.0,0.010834096220870794,0.08285797834594323,0.07752067306962188,0.05721142608088971,0.06812194764723677,0.09927889641351749,0.10083498420591828,0.11624865038822739,0.10572889221124783,0.10967850205916738,0.11165292054308071,0.06003103281427853
vits,1213,0.02,task_loss,rho_selected,3,7.833559292554855,2.0785219399538106,0.02629656683710738,0.09186254332692778,0.06780984418998001,10.670064684592411,0.11624133773998792,8,0.9677527789773778,2.055669656598331e-16,0.010835659893590296,0.08285388588219415,0.07752059346840585,0.05721447289876621,0.06812533765279832,0.09927803254939904,0.10083932045791126,0.11624133773998792,0.10572899487088093,0.10967828979790321,0.1116447791348936,0.0600392956532692
