dataset,family,seed,regime,point_index,rho,accuracy,exact_clean_anchor,adversarial_lower_envelope
imagenet,sinusoidal,1213,noise,5,0.1805925295301252,0.9933452593917711,False,False
imagenet,sinusoidal,1213,adversarial,0,0.0,1.0,True,True
imagenet,sinusoidal,1213,adversarial,1,0.006602441033180775,0.9906976744186047,False,True
imagenet,sinusoidal,1213,adversarial,2,0.019692442686974156,0.9649373881932022,False,True
imagenet,sinusoidal,1213,adversarial,3,0.03438124045585196,0.9427549194991056,False,True
imagenet,sinusoidal,1213,adversarial,4,0.060042437007271826,0.863685152057245,False,True
imagenet,sinusoidal,1213,adversarial,5,0.07842586947735847,0.6669051878354204,False,True
imagenet,sinusoidal,1213,adversarial,6,0.08772296254888175,0.4300536672629696,False,True
imagenet,sinusoidal,1213,adversarial,7,0.09278054047809267,0.25044722719141327,False,True
imagenet,sinusoidal,1213,adversarial,8,0.09826531099701107,0.024329159212880147,False,True
imagenet,sinusoidal,1213,adversarial_raw,0,0.0,1.0,True,False
imagenet,sinusoidal,1213,adversarial_raw,1,0.006602441033180775,0.9906976744186047,False,False
imagenet,sinusoidal,1213,adversarial_raw,2,0.019692442686974156,0.9649373881932022,False,False
imagenet,sinusoidal,1213,adversarial_raw,3,0.03438124045585196,0.9427549194991056,False,False
imagenet,sinusoidal,1213,adversarial_raw,4,0.060042437007271826,0.863685152057245,False,False
imagenet,sinusoidal,1213,adversarial_raw,5,0.07842586947735847,0.6669051878354204,False,False
imagenet,sinusoidal,1213,adversarial_raw,6,0.08772296254888175,0.4300536672629696,False,False
imagenet,sinusoidal,1213,adversarial_raw,7,0.09278054047809267,0.25044722719141327,False,False
imagenet,sinusoidal,1213,adversarial_raw,8,0.09826531099701107,0.024329159212880147,False,False
imagenet,rope,42,noise,0,0.0,1.0,True,False
imagenet,rope,42,noise,1,0.02430948201898513,0.9987679671457906,False,False
imagenet,rope,42,noise,2,0.04864545349210842,0.9981177275838468,False,False
imagenet,rope,42,noise,3,0.09749916728933629,0.9972621492128679,False,False
imagenet,rope,42,noise,4,0.19656934798531803,0.9927104722792608,False,False
imagenet,rope,42,noise,5,0.4001870282555096,0.9690622861054073,False,False
imagenet,rope,42,adversarial,0,0.0,1.0,True,True
imagenet,rope,42,adversarial,1,0.01934129838893027,0.9955509924709103,False,True
imagenet,rope,42,adversarial,2,0.03268049685232364,0.9876796714579055,False,True
imagenet,rope,42,adversarial,3,0.049010925511211445,0.972621492128679,False,True
imagenet,rope,42,adversarial,4,0.07953193456001827,0.904517453798768,False,True
imagenet,rope,42,adversarial,5,0.1101489733910826,0.7522245037645449,False,True
