dataset,family,seed,budget,rho,accuracy,n_draws,rho_sd_across_draws,accuracy_sd_across_draws,sources
cifar,rope,42,0.4,0.40728617648292387,0.9489475388601036,10,0.01031641719590194,0.01174765303768629,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,42,0.5,0.507927848050885,0.9064119170984457,10,0.011551645180532052,0.022554896185508853,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.025,0.023750044545420144,0.999547803617571,10,0.000738780072537231,0.000603312908101698,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.05,0.04751994718511769,0.9993701550387597,10,0.0014764003442674042,0.0013152205532012914,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.1,0.09524139598320014,0.9967377260981912,10,0.0029472184488723695,0.0016797245907197377,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.2,0.19190722263737794,0.9883397932816538,10,0.005778142872336345,0.002918716524863575,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.3,0.2902555819262285,0.9741763565891475,10,0.008123424259081923,0.0062061889369163835,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.4,0.38936745546032936,0.9484334625322998,10,0.009646139163829616,0.01034181762126618,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,123,0.5,0.48778007244841665,0.9118863049095609,10,0.010265673049789838,0.017180068970380036,analysis/v18_canonical_pipeline/inputs/cifar_base/session_1_seeds_42_123/noise_all_families.json
cifar,rope,456,0.025,0.025034083834118037,0.9995643756050339,10,0.0006911367950916167,0.0007136854640221195,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.05,0.050077755521220214,0.9991126169732171,10,0.0013774860289219588,0.0013737807652409034,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.1,0.10029961053315797,0.9978541464988705,10,0.002727927205176773,0.0011535948007347955,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.2,0.20164106566568957,0.992836398838335,10,0.005270497634033281,0.002460081692471299,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.3,0.3040112325591617,0.9767344304614392,10,0.007469274869276581,0.003361880126225722,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.4,0.4061487554149398,0.9515327525008068,10,0.00921577793744622,0.006919646297291839,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,456,0.5,0.5062321353886347,0.91216521458535,10,0.010342542916715028,0.012731447591366745,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.025,0.024212723071349068,0.9991069978892677,10,0.001120970117789416,0.0006038835742929421,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.05,0.048447868703775744,0.9983276505926287,10,0.0022434663503703356,0.0008894690342887755,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.1,0.0971001127110585,0.9967364831953238,10,0.004483037688143819,0.0017156550158745525,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.2,0.1955697565501568,0.9897223575255725,10,0.008821692164923598,0.0029226024743187664,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.3,0.2955159488239602,0.9757752881961359,10,0.012622327092162343,0.005809315160530875,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.4,0.39570543660241875,0.952411105698977,10,0.015435160280295297,0.0094656506321026,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,789,0.5,0.4944991501589667,0.914434161389836,10,0.017049743723830918,0.019558406976465242,analysis/v18_canonical_pipeline/inputs/cifar_base/session_2_seeds_456_789/noise_all_families.json
cifar,rope,1011,0.025,0.02521930408597841,0.9989167340339531,10,0.0012226119469467,0.0006602818925698512,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.05,0.05045503578455339,0.9978981406628942,10,0.0024285147096953495,0.0007389549555808225,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.1,0.10103771042264711,0.9956184316895715,10,0.004747062008196843,0.0014807568623819028,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.2,0.20282766603615232,0.9885691188358934,10,0.008769505294094428,0.0032915410733266384,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.3,0.3053469124196281,0.9716410670978174,10,0.011837306999139577,0.006360933200139802,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.4,0.40765236680011574,0.948682295877122,10,0.013896345795039441,0.013177278183157358,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1011,0.5,0.5081395504928944,0.9085206143896525,10,0.014977008734046364,0.023585038180410536,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
cifar,rope,1213,0.025,0.023628061164256385,1.0000647458724505,10,0.0009645966588045542,0.0008905009619413847,analysis/v18_canonical_pipeline/inputs/cifar_base/session_3_seeds_1011_1213/noise_all_families.json
