dataset,family,regime,rho,mean_accuracy,sd_accuracy,low_accuracy,high_accuracy
imagenet,learned,noise,0.0387125,0.9986048348177882,0.0008167985257548832,0.9977880362920333,0.9994216333435431
imagenet,learned,noise,0.03895,0.9985890514079198,0.0008233048517913166,0.9977657465561285,0.999412356259711
imagenet,learned,noise,0.0391875,0.9985732679980516,0.0008299055412933502,0.9977433624567582,0.9994031735393449
imagenet,learned,noise,0.039425,0.9985574845881833,0.0008365983607049877,0.9977208862274782,0.9993940829488883
imagenet,learned,noise,0.0396625,0.9985417011783149,0.0008433811166831466,0.9976983200616317,0.999385082294998
imagenet,learned,noise,0.0399,0.9985259177684465,0.0008502516568638155,0.9976756661115826,0.9993761694253103
imagenet,learned,noise,0.0401375,0.9985101343585782,0.0008572078704725917,0.9976529264881056,0.9993673422290508
imagenet,learned,noise,0.040375,0.99849435094871,0.0008642476887902254,0.9976301032599197,0.9993585986375002
imagenet,learned,noise,0.0406125,0.9984785675388416,0.0008713690854837946,0.9976071984533578,0.9993499366243254
imagenet,learned,noise,0.04085,0.9984627841289733,0.000878570076814044,0.9975842140521592,0.9993413542057873
imagenet,learned,noise,0.0410875,0.998447000719105,0.0008858487217283515,0.9975611519973766,0.9993328494408333
imagenet,learned,noise,0.041325,0.9984312173092368,0.0008932031218490882,0.9975380141873877,0.9993244204310858
imagenet,learned,noise,0.0415625,0.9984154338993685,0.000900631421366613,0.9975148024780018,0.9993160653207351
imagenet,learned,noise,0.0418,0.9983996504895001,0.0009081318068447852,0.9974915186826553,0.9993077822963449
imagenet,learned,noise,0.0420375,0.9983838670796317,0.0009157025069486851,0.997468164572683,0.9992995695865804
imagenet,learned,noise,0.042275,0.9983680836697634,0.0009233417921006116,0.9974447418776627,0.999291425461864
imagenet,learned,noise,0.0425125,0.9983523002598952,0.00093104797407307,0.9974212522858221,0.9992833482339682
imagenet,learned,noise,0.04275,0.9983365168500266,0.000938819405524946,0.9973976974445016,0.9992753362555515
imagenet,learned,noise,0.0429875,0.9983207334401584,0.0009466544794872474,0.9973740789606711,0.9992673879196456
imagenet,learned,noise,0.043225,0.9983049500302901,0.0009545516288053555,0.9973503984014848,0.9992595016590954
imagenet,learned,noise,0.0434625,0.9982891666204218,0.0009625093255419399,0.9973266572948798,0.9992516759459638
imagenet,learned,noise,0.0437,0.9982733832105536,0.0009705260803471243,0.9973028571302065,0.9992439092909007
imagenet,learned,noise,0.0439375,0.9982575998006852,0.0009786004418000619,0.9972789993588851,0.9992362002424853
imagenet,learned,noise,0.044175,0.9982418163908169,0.0009867309957263706,0.9972550853950906,0.9992285473865432
imagenet,learned,noise,0.0444125,0.9982260329809486,0.000994916364495787,0.9972311166164528,0.9992209493454444
imagenet,learned,noise,0.04465,0.9982102495710802,0.0010031552063038864,0.9972070943647763,0.9992134047773841
imagenet,learned,noise,0.0448875,0.9981944661612118,0.0010114462144405173,0.9971830199467713,0.9992059123756523
imagenet,learned,noise,0.045125,0.9981786827513436,0.0010197881165498104,0.9971588946347938,0.9991984708678934
imagenet,learned,noise,0.0453625,0.9981628993414753,0.0010281796738823457,0.9971347196675929,0.9991910790153576
