scope,scope_key,support_multiplier,rho_endpoint,architecture,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,learned,Learned,1213,0.77551013151955572,0.99855326427208779,0.22304313275253207
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,42,0.74908951204523011,0.99873549299664877,0.24964598095141866
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,123,0.79997092823983296,1.0009493718018239,0.2009784435619909
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,456,0.75649533876945929,0.99903449822444879,0.24253915945498949
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,789,0.76165294189965904,1.0000045320658486,0.23835159016618956
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,1011,0.77538954281747119,0.99968493577071682,0.22429539295324563
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,sinusoidal,Sinusoidal,1213,0.77493346258747497,0.99656608804231261,0.22163262545483764
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,42,0.85750942401371477,0.99937993505201161,0.14187051103829684
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,123,0.92106411467451021,0.99895376867310504,0.077889653998594821
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,456,0.85018290348992087,0.999914937826337,0.14973203433641613
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,789,0.96854143259162317,0.99941761057080125,0.030876177979178077
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,1011,0.92224760825112351,0.99937127085155431,0.077123662600430798
cross,all,0.90000000000000002,0.078611014432286339,vits_amp,rope,RoPE,1213,0.89197722930323664,0.99898108635750282,0.10700385705426618
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,42,0.9983903839989654,0.9998617361726474,0.0014713521736819946
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,123,0.99608435610739199,0.99802191347132951,0.0019375573639375254
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,456,0.9916423100283891,0.99920980380586355,0.0075674937774744544
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,789,0.99557636783009051,0.99928145628949483,0.0037050884594043154
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,1011,0.99483180746766409,0.99795166716793771,0.0031198597002736195
cross,all,0.75,0.065509178693571951,vitb_amp,learned,Learned,1213,0.99679433678037688,0.99828672820286923,0.0014923914224923562
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,42,0.93275139043686828,0.99910266632177847,0.066351275884910188
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,123,0.93654607741514584,0.99879429346327719,0.062248216048131355
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,456,0.94143863073256218,0.99876844017024458,0.0573298094376824
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,789,0.93378906428375708,0.99718170976510523,0.063392645481348153
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,1011,0.93221278570631971,0.99845087582867653,0.066238090122356819
cross,all,0.75,0.065509178693571951,vitb_amp,sinusoidal,Sinusoidal,1213,0.9330222287599913,0.9994919744626467,0.066469745702655403
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,42,0.98115685115289775,0.99867038149949428,0.017513530346596529
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,123,0.97845986605999657,0.99920791606100934,0.020748050001012763
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,456,0.98146814324040721,0.99956049425218385,0.018092351011776642
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,789,0.97086802541558781,0.9997656975517899,0.028897672136202091
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,1011,0.98738188855420683,0.99893996663157214,0.011558078077365308
cross,all,0.75,0.065509178693571951,vitb_amp,rope,RoPE,1213,0.9806038225321333,0.9997351647330851,0.019131342200951806
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,42,0.9469394571580998,0.99761818751805287,0.050678730359953073
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,123,0.90623547313947139,0.99841466294810655,0.092179189808635154
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,456,0.8869347050695976,0.9958602068821989,0.1089255018126013
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,789,0.91028158223010525,0.99757974320059883,0.087298160970493588
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,1011,0.74944231139397766,0.9987193293815918,0.24927701798761415
cross,all,0.75,0.065509178693571951,vits_amp,learned,Learned,1213,0.845093388045418,0.99875387433325058,0.15366048628783258
cross,all,0.75,0.065509178693571951,vits_amp,sinusoidal,Sinusoidal,42,0.83366457838318919,0.99886067724985217,0.16519609886666298
cross,all,0.75,0.065509178693571951,vits_amp,sinusoidal,Sinusoidal,123,0.86332624736475305,1.0009497458857537,0.13762349852100064
