dataset,family,seed,budget,rho,accuracy,attack_loss,sources,source_classes,architecture,source_index
imagenet,rope,789,0.080000000000000002,0.12567510327046361,0.14344122657580921,4.5033475399017338,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,7
imagenet,rope,789,0.089999999999999997,0.13757209642267271,0.087563884156729097,4.977632649242878,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,8
imagenet,rope,789,0.10000000000000001,0.1496203415646222,0.0579216354344122,5.2470250412821766,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_4_seeds_789/attacks_rope.json,base,vitb_amp,9
imagenet,rope,1011,0.012500000000000001,0.020338535064103599,0.99965706447187919,0.71575578986667099,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,0
imagenet,rope,1011,0.025000000000000001,0.033065122960331997,0.99074074074074081,0.76130121625028546,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,1
imagenet,rope,1011,0.037499999999999999,0.052885811651233801,0.97908093278463637,0.8489850381854922,analysis/v18_canonical_pipeline/inputs/densification/imagenet_rope_optional_all6.json,densification,vitb_amp,2
imagenet,rope,1011,0.050000000000000003,0.087784177263636201,0.89197530864197516,1.1294029183220118,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,3
imagenet,rope,1011,0.059999999999999998,0.11875385620320419,0.72702331961591216,1.7093411292880774,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,4
imagenet,rope,1011,0.070000000000000007,0.13690896039818731,0.38340192043895738,3.1624413624405863,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,5
imagenet,rope,1011,0.074999999999999997,0.143679743601142,0.25891632373113849,3.8051387667655945,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,6
imagenet,rope,1011,0.080000000000000002,0.14976125862061829,0.15054869684499311,4.3378750726580622,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,7
imagenet,rope,1011,0.089999999999999997,0.1607211269845851,0.075102880658436205,4.787743252515793,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,8
imagenet,rope,1011,0.10000000000000001,0.17046010676121459,0.054526748971193403,5.1274314254522322,analysis/v18_canonical_pipeline/inputs/imagenet_base/session_5_seeds_1011/attacks_rope.json,base,vitb_amp,9
