dataset,pe_type,seed,direction,kind,functional_gain,probe_radius,rho_rel_calibration,rho_rel_heldout,delta_ce,damage_efficiency,parameter_radius_global_rms,parameter_space_cosine_to_task_gradient,attention_task_alignment_cosine,source_file
cifar,alibi,42,random_19,gaussian random,4.338218575055521,0.0001,0.0296806931447389,0.0297141358370958,0.003111258149147,0.1047063312291538,0.0069152808879889,-0.067768707871437,-8.792682988393445e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_20,gaussian random,4.341785862887454,0.0001,0.0297311551654065,0.0297858849297027,0.0149609446525573,0.5022830339896398,0.006909599171261,-0.1036752164363861,0.0002205150961543,cifar_seeds_42_123.json
cifar,alibi,42,random_21,gaussian random,4.365041783237055,0.0001,0.029672238119325,0.0296856794901349,0.0121447145938873,0.4091102107978775,0.0068727864450709,0.3268307447433471,0.0001445524681336,cifar_seeds_42_123.json
cifar,alibi,42,random_22,gaussian random,4.376156910265565,0.0001,0.0296968199889454,0.0297531799848298,0.0177687406539917,0.5972047580477579,0.0068553300567505,-0.3843667805194855,0.0002142211341622,cifar_seeds_42_123.json
cifar,alibi,42,random_23,gaussian random,4.39714479431668,0.0001,0.0297412068865741,0.0297451949629087,0.0070566236972808,0.2372357520628205,0.00682260908005,0.1369236558675766,-8.07879540073071e-06,cifar_seeds_42_123.json
cifar,alibi,42,random_24,gaussian random,4.340537406911103,0.0001,0.0297577662469773,0.0297743055528398,0.0097088813781738,0.3260825466086415,0.0069115865588978,0.0804322734475135,5.278206936701631e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_25,gaussian random,4.326694991467647,0.0001,0.0298180871202301,0.0298545791605397,0.0073826164007186,0.2472858974504206,0.0069336988299754,-0.6236365437507629,-6.661632265570802e-06,cifar_seeds_42_123.json
cifar,alibi,42,random_26,gaussian random,4.397238247965655,0.0001,0.0297248304554703,0.0297042360559823,-0.0003611147403717,-0.0121570115350257,0.0068224640804666,0.3996739387512207,-5.925013721628551e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_27,gaussian random,4.326479478555316,0.0001,0.0297719362948104,0.0298154020953856,0.0017283260822296,0.0579675590723324,0.0069340442150941,-0.2807013988494873,-8.000350668336604e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_28,gaussian random,4.3462944728686335,0.0001,0.029762233822004,0.0298117436531404,0.0213792622089386,0.7171422932414239,0.0069024315281149,-0.3817714750766754,0.0002653956545085,cifar_seeds_42_123.json
cifar,alibi,42,random_29,gaussian random,4.352357681773685,0.0001,0.0297372326237793,0.0297488186081132,0.0027910470962524,0.0938204347883332,0.0068928158468295,0.599422812461853,-2.66026066940738e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_30,gaussian random,4.323970220501644,0.0001,0.0297414730279708,0.0297688932438776,0.0041626691818237,0.1398328499390831,0.0069380681341786,-0.0024627447128295,-1.9740443270302e-05,cifar_seeds_42_123.json
cifar,alibi,42,random_31,gaussian random,4.499871645883857,0.0001,0.0294971848614741,0.0294751722884144,0.0047689229249954,0.1617945733558921,0.0066668568263367,-0.0339235588908195,-0.0001528563218812,cifar_seeds_42_123.json
cifar,alibi,42,task_gradient,held-out task-gradient ascent,4.340090579540012,0.0001,0.0298339624225101,0.0298750037654759,-0.0012426674365997,-0.0415955574886245,0.0069122981306946,1.0,-0.0001437125637748,cifar_seeds_42_123.json
cifar,alibi,123,random_00,gaussian random,4.507896031342219,0.0001,0.029752997514375,0.0297791188950838,0.0321695953607559,1.0802735794196614,0.0066549893323665,0.0664520487189292,0.0003360052987967,cifar_seeds_42_123.json
cifar,alibi,123,random_01,gaussian random,4.300845609177435,0.0001,0.0296698926469715,0.029627171868842,-0.01001438498497,-0.3380135312713361,0.0069753724560546,-0.445088267326355,-0.0001671392884793,cifar_seeds_42_123.json
cifar,alibi,123,random_02,gaussian random,4.309210546365048,0.0001,0.0297224336828464,0.0297545255764377,0.0154896229505538,0.5205804041728685,0.0069618320286777,-0.1485703438520431,0.0001096183070168,cifar_seeds_42_123.json
cifar,alibi,123,random_03,gaussian random,4.256554483241717,0.0001,0.0297872441048902,0.029812342734014,-0.0074393004179,-0.2495375987145187,0.0070479539538637,-0.1175979450345039,-0.0001261236815782,cifar_seeds_42_123.json
cifar,alibi,123,random_04,gaussian random,4.420896655256845,0.0001,0.0296996181007016,0.0296978661885369,0.0108921825885772,0.3667665050218844,0.0067859536965939,-0.0303575415164232,-6.839641253909726e-05,cifar_seeds_42_123.json
cifar,alibi,123,random_05,gaussian random,4.422045182975987,0.0001,0.0297746657215814,0.0297539105424733,-0.0138120651245117,-0.464210077690298,0.006784191196303,-0.3669587075710296,-0.0003447399288224,cifar_seeds_42_123.json
cifar,alibi,123,random_06,gaussian random,4.556154797442668,0.0001,0.0297464197629062,0.029692257646055,0.0060180276632308,0.2026800297561899,0.0065844997226254,0.1751873940229416,1.8676132596254843e-05,cifar_seeds_42_123.json
