scope,endpoint_multiplier,endpoint,architecture,family,metric,n_seeds,mean,sd,ci95_low,ci95_high,positive_seeds,exact_sign_flip_p
vitb,1.0,0.0957481143921283,vitb,rope,gap,6,0.05776522613886028,0.017154191006173155,0.04611823325621837,0.07108592879972336,6,0.03125
vitb,1.0,0.0957481143921283,vitb,sinusoidal,noise_nauc,6,0.9982001088207562,0.001233260318711169,0.9972325940947186,0.9990398470448346,6,0.03125
vitb,1.0,0.0957481143921283,vitb,sinusoidal,adversarial_nauc,6,0.8259647823984665,0.024073233249488016,0.8086154363630936,0.8435771306352265,6,0.03125
vitb,1.0,0.0957481143921283,vitb,sinusoidal,gap,6,0.17223532642228964,0.024693933049750788,0.1540952826302719,0.19015201742151833,6,0.03125
vits,0.75,0.05942879800354839,vits,alibi,noise_nauc,6,0.9834038026715041,0.004418740368900436,0.9801320343799076,0.9865356183047452,6,0.03125
vits,0.75,0.05942879800354839,vits,alibi,adversarial_nauc,6,0.9442842701292591,0.005279469763224143,0.9404732187463836,0.9478846508949843,6,0.03125
vits,0.75,0.05942879800354839,vits,alibi,gap,6,0.03911953254224495,0.0025991113423815796,0.03712841393497194,0.04087977052574757,6,0.03125
vits,0.75,0.05942879800354839,vits,learned,noise_nauc,6,0.9985550022247888,0.0005700840401594412,0.9980995495489187,0.9989262177821097,6,0.03125
vits,0.75,0.05942879800354839,vits,learned,adversarial_nauc,6,0.9259658598574649,0.016167450505307848,0.9157042522497777,0.9388256742501135,6,0.03125
vits,0.75,0.05942879800354839,vits,learned,gap,6,0.07258914236732382,0.01602404212527307,0.059896683594147494,0.08237447866334792,6,0.03125
vits,0.75,0.05942879800354839,vits,rope,noise_nauc,6,0.9993849017369221,0.000634694599010418,0.9989153751521568,0.9998187894009297,6,0.03125
vits,0.75,0.05942879800354839,vits,rope,adversarial_nauc,6,0.9484868170268886,0.013941334943719144,0.9393122183480793,0.9592854950016664,6,0.03125
vits,0.75,0.05942879800354839,vits,rope,gap,6,0.050898084710033466,0.013664566453151294,0.04029255968724906,0.05984999773911739,6,0.03125
vits,0.75,0.05942879800354839,vits,sinusoidal,noise_nauc,6,0.9991878973813387,0.0007806418512142075,0.9986190007827257,0.9997427221756178,6,0.03125
vits,0.75,0.05942879800354839,vits,sinusoidal,adversarial_nauc,6,0.8663085470887805,0.021884432243198353,0.8503634952659751,0.8820876858726269,6,0.03125
vits,0.75,0.05942879800354839,vits,sinusoidal,gap,6,0.1328793502925585,0.02217212511545167,0.11678770076864707,0.14897099981646997,6,0.03125
vits,0.9,0.07131455760425807,vits,alibi,noise_nauc,6,0.9769469024236956,0.005892668659139374,0.9725811960223268,0.9812113846057585,6,0.03125
vits,0.9,0.07131455760425807,vits,alibi,adversarial_nauc,6,0.9219892940722816,0.005641709557982091,0.9180004376044032,0.9257937854770865,6,0.03125
