scope,endpoint_multiplier,endpoint,architecture,family,seed,noise_nauc,adversarial_nauc,adversarial_raw_nauc,gap,raw_gap
vits,0.9,0.07131455760425807,vits,learned,789,0.997122367475868,0.8558548498341978,0.8558548498341978,0.14126751764167023,0.14126751764167023
vits,0.75,0.05942879800354839,vits,learned,789,0.9975200315156167,0.9073142454495374,0.9073142454495374,0.09020578606607932,0.09020578606607932
cross,1.0,0.07923839733806452,vits,learned,1011,0.9988926798565607,0.8416013502140115,0.8416013502140115,0.15729132964254922,0.15729132964254922
cross,0.9,0.07131455760425807,vits,learned,1011,0.999031009235984,0.8790271120857825,0.8790271120857825,0.12000389715020143,0.12000389715020143
cross,0.75,0.05942879800354839,vits,learned,1011,0.9992181216413383,0.919814573020173,0.919814573020173,0.07940354862116528,0.07940354862116528
vits,1.0,0.07923839733806452,vits,learned,1011,0.9988926798565607,0.8416013502140115,0.8416013502140115,0.15729132964254922,0.15729132964254922
vits,0.9,0.07131455760425807,vits,learned,1011,0.999031009235984,0.8790271120857825,0.8790271120857825,0.12000389715020143,0.12000389715020143
vits,0.75,0.05942879800354839,vits,learned,1011,0.9992181216413383,0.919814573020173,0.919814573020173,0.07940354862116528,0.07940354862116528
cross,1.0,0.07923839733806452,vits,learned,1213,0.9981877891918732,0.8466720997079408,0.8466720997079408,0.15151568948393246,0.15151568948393246
cross,0.9,0.07131455760425807,vits,learned,1213,0.9983823077926168,0.8841992401894163,0.8841992401894163,0.11418306760320052,0.11418306760320052
cross,0.75,0.05942879800354839,vits,learned,1213,0.9986790675822207,0.927420232495233,0.927420232495233,0.07125883508698772,0.07125883508698772
vits,1.0,0.07923839733806452,vits,learned,1213,0.9981877891918732,0.8466720997079408,0.8466720997079408,0.15151568948393246,0.15151568948393246
vits,0.9,0.07131455760425807,vits,learned,1213,0.9983823077926168,0.8841992401894163,0.8841992401894163,0.11418306760320052,0.11418306760320052
vits,0.75,0.05942879800354839,vits,learned,1213,0.9986790675822207,0.927420232495233,0.927420232495233,0.07125883508698772,0.07125883508698772
cross,1.0,0.07923839733806452,vits,sinusoidal,42,0.997466114892937,0.7969506627592059,0.7969506627592059,0.20051545213373112,0.20051545213373112
cross,0.9,0.07131455760425807,vits,sinusoidal,42,0.9977429329598646,0.8381734119441429,0.8381734119441429,0.15956952101572175,0.15956952101572175
cross,0.75,0.05942879800354839,vits,sinusoidal,42,0.9981272444275694,0.8856983703607786,0.8856983703607786,0.11242887406679081,0.11242887406679081
vits,1.0,0.07923839733806452,vits,sinusoidal,42,0.997466114892937,0.7969506627592059,0.7969506627592059,0.20051545213373112,0.20051545213373112
vits,0.9,0.07131455760425807,vits,sinusoidal,42,0.9977429329598646,0.8381734119441429,0.8381734119441429,0.15956952101572175,0.15956952101572175
vits,0.75,0.05942879800354839,vits,sinusoidal,42,0.9981272444275694,0.8856983703607786,0.8856983703607786,0.11242887406679081,0.11242887406679081
cross,1.0,0.07923839733806452,vits,sinusoidal,123,1.0001267395915265,0.7796427713905033,0.7796427713905033,0.22048396820102323,0.22048396820102323
cross,0.9,0.07131455760425807,vits,sinusoidal,123,1.0001437672872053,0.8232980916179422,0.8232980916179422,0.17684567566926312,0.17684567566926312
cross,0.75,0.05942879800354839,vits,sinusoidal,123,1.0000878776325983,0.8746107879431553,0.8746107879431553,0.12547708968944304,0.12547708968944304
vits,1.0,0.07923839733806452,vits,sinusoidal,123,1.0001267395915265,0.7796427713905033,0.7796427713905033,0.22048396820102323,0.22048396820102323
vits,0.9,0.07131455760425807,vits,sinusoidal,123,1.0001437672872053,0.8232980916179422,0.8232980916179422,0.17684567566926312,0.17684567566926312
vits,0.75,0.05942879800354839,vits,sinusoidal,123,1.0000878776325983,0.8746107879431553,0.8746107879431553,0.12547708968944304,0.12547708968944304
cross,1.0,0.07923839733806452,vits,sinusoidal,456,0.9995957483461291,0.7257530103938696,0.7292950570344233,0.27384273795225944,0.27030069131170575
cross,0.9,0.07131455760425807,vits,sinusoidal,456,0.9997382649755158,0.7823275280815154,0.7823275280815154,0.21741073689400037,0.21741073689400037
cross,0.75,0.05942879800354839,vits,sinusoidal,456,0.9999003884267683,0.846219358742382,0.846219358742382,0.15368102968438635,0.15368102968438635
vits,1.0,0.07923839733806452,vits,sinusoidal,456,0.9995957483461291,0.7257530103938696,0.7292950570344233,0.27384273795225944,0.27030069131170575
vits,0.9,0.07131455760425807,vits,sinusoidal,456,0.9997382649755158,0.7823275280815154,0.7823275280815154,0.21741073689400037,0.21741073689400037
vits,0.75,0.05942879800354839,vits,sinusoidal,456,0.9999003884267683,0.846219358742382,0.846219358742382,0.15368102968438635,0.15368102968438635
cross,1.0,0.07923839733806452,vits,sinusoidal,789,0.9977695344773642,0.812802613212941,0.812802613212941,0.18496692126442316,0.18496692126442316
cross,0.9,0.07131455760425807,vits,sinusoidal,789,0.9981464141735764,0.8488720836058801,0.8488720836058801,0.14927433056769635,0.14927433056769635
cross,0.75,0.05942879800354839,vits,sinusoidal,789,0.9986649812728433,0.8921485564545103,0.8921485564545103,0.10651642481833301,0.10651642481833301
vits,1.0,0.07923839733806452,vits,sinusoidal,789,0.9977695344773642,0.812802613212941,0.812802613212941,0.18496692126442316,0.18496692126442316
vits,0.9,0.07131455760425807,vits,sinusoidal,789,0.9981464141735764,0.8488720836058801,0.8488720836058801,0.14927433056769635,0.14927433056769635
vits,0.75,0.05942879800354839,vits,sinusoidal,789,0.9986649812728433,0.8921485564545103,0.8921485564545103,0.10651642481833301,0.10651642481833301
cross,1.0,0.07923839733806452,vits,sinusoidal,1011,0.9992997510865917,0.7666972167130234,0.7666972167130234,0.23260253437356837,0.23260253437356837
cross,0.9,0.07131455760425807,vits,sinusoidal,1011,0.9994316983801441,0.8093152458140926,0.8093152458140926,0.19011645256605147,0.19011645256605147
cross,0.75,0.05942879800354839,vits,sinusoidal,1011,0.9995799908142197,0.862221473662028,0.862221473662028,0.13735851715219172,0.13735851715219172
vits,1.0,0.07923839733806452,vits,sinusoidal,1011,0.9992997510865917,0.7666972167130234,0.7666972167130234,0.23260253437356837,0.23260253437356837
vits,0.9,0.07131455760425807,vits,sinusoidal,1011,0.9994316983801441,0.8093152458140926,0.8093152458140926,0.19011645256605147,0.19011645256605147
vits,0.75,0.05942879800354839,vits,sinusoidal,1011,0.9995799908142197,0.862221473662028,0.862221473662028,0.13735851715219172,0.13735851715219172
cross,1.0,0.07923839733806452,vits,sinusoidal,1213,0.9984504157714456,0.7163501269281903,0.7163501269281903,0.2821002888432552,0.2821002888432552
cross,0.9,0.07131455760425807,vits,sinusoidal,1213,0.9986149362767729,0.7681817475828757,0.7681817475828757,0.23043318869389717,0.23043318869389717
cross,0.75,0.05942879800354839,vits,sinusoidal,1213,0.9987669017140343,0.8369527353698281,0.8369527353698281,0.1618141663442062,0.1618141663442062
vits,1.0,0.07923839733806452,vits,sinusoidal,1213,0.9984504157714456,0.7163501269281903,0.7163501269281903,0.2821002888432552,0.2821002888432552
vits,0.9,0.07131455760425807,vits,sinusoidal,1213,0.9986149362767729,0.7681817475828757,0.7681817475828757,0.23043318869389717,0.23043318869389717
vits,0.75,0.05942879800354839,vits,sinusoidal,1213,0.9987669017140343,0.8369527353698281,0.8369527353698281,0.1618141663442062,0.1618141663442062
