regime,family,seed,budget,rho,accuracy,rho_sd,accuracy_sd,n_draws,source_index
full_fp32_trained,sinusoidal,42,0.2,0.24593000346552488,0.947753014249178,0.0012452622717869404,0.011757416525292573,10,5
full_fp32_trained,sinusoidal,42,0.3,0.35968746785706596,0.7933503836317135,0.0016638808733553173,0.05025699071116631,10,6
full_fp32_trained,sinusoidal,123,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,123,0.01,0.010846186929190867,1.0,0.00010770604914547898,0.0006965711426539376,10,1
full_fp32_trained,sinusoidal,123,0.025,0.027551921556830044,0.999667528629479,0.0002820791760807985,0.0015325554554091482,10,2
full_fp32_trained,sinusoidal,123,0.05,0.057607055077819644,1.0007757665312154,0.0006388699600804001,0.0023197623162229167,10,3
full_fp32_trained,sinusoidal,123,0.1,0.12269494236181555,0.9978204654599188,0.0012538015697816241,0.004284938855757931,10,4
full_fp32_trained,sinusoidal,123,0.2,0.24493331408778046,0.9604359069080163,0.0016467644884467533,0.012154430426744122,10,5
full_fp32_trained,sinusoidal,123,0.3,0.3615233642811196,0.8462135205024012,0.0018139344361502007,0.03914420334201674,10,6
full_fp32_trained,sinusoidal,456,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,456,0.01,0.011221163494809786,1.0004008746355686,0.0001115966680721142,0.0008139876369169718,10,1
full_fp32_trained,sinusoidal,456,0.025,0.02870916778170037,1.0,0.00028867767969002154,0.0015931580476924144,10,2
full_fp32_trained,sinusoidal,456,0.05,0.06111431413877096,0.9991982507288629,0.0006510300499951545,0.0030286573454319596,10,3
full_fp32_trained,sinusoidal,456,0.1,0.13166690779613616,0.9947886297376094,0.0009753529640761126,0.0027596980568310803,10,4
full_fp32_trained,sinusoidal,456,0.2,0.25983674124618056,0.9457725947521866,0.0012032010412948023,0.009457759699439319,10,5
full_fp32_trained,sinusoidal,456,0.3,0.37828438107892015,0.8005102040816328,0.0016635740346690035,0.041181008854527,10,6
full_fp32_trained,sinusoidal,789,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,789,0.01,0.010110527714093875,0.9994149908592321,0.00011505361677138029,0.0008652401876562477,10,1
full_fp32_trained,sinusoidal,789,0.025,0.02560747296040508,0.9995612431444242,0.00029411007077044694,0.001730480375312513,10,2
full_fp32_trained,sinusoidal,789,0.05,0.05317347118870371,0.997001828153565,0.0006116583681522245,0.0031678618591170103,10,3
full_fp32_trained,sinusoidal,789,0.1,0.113225804413595,0.989872029250457,0.001098854139004418,0.005450637120049912,10,4
full_fp32_trained,sinusoidal,789,0.2,0.22981265503230103,0.953418647166362,0.0015097955279375825,0.013371179550209108,10,5
full_fp32_trained,sinusoidal,789,0.3,0.341046683319566,0.8416819012797075,0.0017577608793881074,0.03569765997581817,10,6
full_fp32_trained,sinusoidal,1011,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,1011,0.01,0.011592264436757437,0.9992304873580066,0.00010496738858701757,0.001274644714615322,10,1
full_fp32_trained,sinusoidal,1011,0.025,0.02969771565317326,1.0000732869182851,0.00026032623434189334,0.0022442768443348745,10,2
full_fp32_trained,sinusoidal,1011,0.05,0.06332122225484642,0.9988274093074387,0.0005571455398804189,0.003339718451229391,10,3
full_fp32_trained,sinusoidal,1011,0.1,0.13560146738111808,0.9945034811286186,0.0010308024208203646,0.005589378863391957,10,4
full_fp32_trained,sinusoidal,1011,0.2,0.26544527574820254,0.9521436423598388,0.0013628568038495028,0.013426159873936054,10,5
full_fp32_trained,sinusoidal,1011,0.3,0.38760263594348654,0.8190179552949799,0.0014730681498703428,0.03891093298705025,10,6
full_fp32_trained,sinusoidal,1213,0.0,0.0,1.0,0.0,0.0,10,0
full_fp32_trained,sinusoidal,1213,0.01,0.01147148358724778,0.9991964937910884,0.00010271700038877239,0.0010724477986629795,10,1
full_fp32_trained,sinusoidal,1213,0.025,0.029398722945320598,0.9985756026296567,0.00025801944912590656,0.0018579329878290452,10,2
full_fp32_trained,sinusoidal,1213,0.05,0.06273538536555145,0.998137326515705,0.0005647962384575854,0.003851595282540581,10,3
full_fp32_trained,sinusoidal,1213,0.1,0.13374025809059634,0.991526661796932,0.0011297197786403037,0.005500860480717971,10,4
full_fp32_trained,sinusoidal,1213,0.2,0.26096220035770057,0.9347699050401754,0.0014472321521235012,0.014244702063917673,10,5
full_fp32_trained,sinusoidal,1213,0.3,0.38138297843951496,0.7534331628926224,0.0014600310981379215,0.055440824319372334,10,6
amp_fp16_trained,learned,42,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,42,0.0025,0.004397272323464997,0.9989981447124304,4.223958957017085e-05,0.0005814550042569554,10,1
amp_fp16_trained,learned,42,0.005,0.008791361193481981,0.9986641929499072,8.346266466730486e-05,0.0008604837170526508,10,2
amp_fp16_trained,learned,42,0.01,0.017632727887405126,0.9979220779220779,0.00016328749409346173,0.0009770398346632503,10,3
amp_fp16_trained,learned,42,0.02,0.035660524917877655,0.9974025974025974,0.0003225138806770399,0.0009089015743166051,10,4
amp_fp16_trained,learned,42,0.04,0.07363483638180225,0.9962152133580704,0.0006553083480383463,0.0024786592553865715,10,5
amp_fp16_trained,learned,42,0.06,0.1135590519466199,0.991243042671614,0.0009542136136374855,0.0033105318030717023,10,6
amp_fp16_trained,learned,42,0.08,0.15389814713806763,0.9837105751391466,0.001201794912284186,0.004426674497488073,10,7
amp_fp16_trained,learned,42,0.12,0.23261875027010884,0.9564378478664193,0.0016248144926290303,0.008524817019710711,10,8
amp_fp16_trained,learned,123,0.0,0.0,1.0,0.0,0.0,10,0
amp_fp16_trained,learned,123,0.0025,0.004473490149157509,1.0,9.018527495304288e-05,0.0005539620903009932,10,1
