support_multiplier,rho_endpoint,regime,family,family_label,seed,attack_nauc,noise_nauc,noise_minus_attack_gap
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,456,0.8277714267954989,0.9951802489830948,0.1674088221875959
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,789,0.8390233620310862,0.9972133152859369,0.15818995325485075
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,1011,0.696931176946366,0.9983127100472141,0.30138153310084814
1.0,0.07923839733806452,amp_fp16_trained,learned,Learned,1213,0.7720567534934102,0.9985438705254762,0.22648711703206603
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,42,0.7446744849222297,0.9987269123199295,0.25405242739769984
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,123,0.7964469910873306,1.0009487705264792,0.2045017794391486
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,456,0.7527221443011912,0.9990277852229278,0.24630564092173657
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,789,0.7581440302882672,0.9999946097853062,0.24185057949703903
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,1011,0.7713876379581598,0.9996895357348626,0.22830189777670284
1.0,0.07923839733806452,amp_fp16_trained,sinusoidal,Sinusoidal,1213,0.7709767328650452,0.9965498677959148,0.2255731349308696
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,42,0.854167449586376,0.9993736643542414,0.14520621476786533
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,123,0.9187858157068857,0.9989426769289005,0.08015686122201482
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,456,0.8467093962619389,0.9999001251286608,0.15319072886672191
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,789,0.9675315908185635,0.9994135582222251,0.03188196740366156
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,1011,0.9197139376401529,0.9993608503719422,0.07964691273178937
1.0,0.07923839733806452,amp_fp16_trained,rope,RoPE,1213,0.8889903883110393,0.9989739247907072,0.10998353647966796
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,42,0.936583155726443,0.9981774526599819,0.061594296933538906
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,123,0.8659585224606111,0.9986682982043309,0.13270977574371978
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,456,0.8922356904136698,0.998245246597082,0.10600955618341223
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,789,0.8558548498341978,0.997122367475868,0.14126751764167023
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,1011,0.8790271120857825,0.999031009235984,0.12000389715020143
0.9,0.07131455760425807,full_fp32_trained,learned,Learned,1213,0.8841992401894163,0.9983823077926168,0.11418306760320052
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,42,0.8381734119441429,0.9977429329598646,0.15956952101572175
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,123,0.8232980916179422,1.0001437672872053,0.17684567566926312
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,456,0.7823275280815154,0.9997382649755158,0.21741073689400037
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,789,0.8488720836058801,0.9981464141735764,0.14927433056769635
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,1011,0.8093152458140926,0.9994316983801441,0.19011645256605147
0.9,0.07131455760425807,full_fp32_trained,sinusoidal,Sinusoidal,1213,0.7681817475828757,0.9986149362767729,0.23043318869389717
0.9,0.07131455760425807,full_fp32_trained,rope,RoPE,42,0.8882076642624523,0.9980769604166664,0.10986929615421404
