support_multiplier,regime,family,metric,n,mean,sd,cv_abs,median,mad,q1,q3,min,max
1.0,amp_fp16_trained,sinusoidal,attack_nauc,6,0.7657253369037039,0.01829293003077242,0.02388967577426905,0.7645603815766562,0.009332746828484284,0.7540776157979602,0.7712849116848811,0.7446744849222297,0.7964469910873306
1.0,amp_fp16_trained,sinusoidal,noise_nauc,6,0.9991562468975701,0.0014962909395346057,0.001497554505794928,0.9993586604788952,0.0006338487326883468,0.9988021305456791,0.9999183412726953,0.9965498677959148,1.0009487705264792
1.0,amp_fp16_trained,sinusoidal,noise_minus_attack_gap,6,0.2334309099938661,0.017814839325465112,0.07631739655186726,0.23507623863687094,0.010366252995433478,0.22625532564232792,0.24519187556556218,0.2045017794391486,0.25405242739769984
1.0,full_fp32_trained,learned,attack_nauc,6,0.8509369245125585,0.037407491577488294,0.04396035769503879,0.8441367249609761,0.01783251193415858,0.8264328671812485,0.8544493224559687,0.818017679457555,0.9209119814868721
1.0,full_fp32_trained,learned,noise_nauc,6,0.9980785447645631,0.0006858904586145774,0.0006872109036031549,0.9981210912685837,0.0002924036710247324,0.9979688506180799,0.9984408050862619,0.9968709261002507,0.9988926798565607
1.0,full_fp32_trained,learned,noise_minus_attack_gap,6,0.14714162025200453,0.037367417647005755,0.2539554585779865,0.15440350956324084,0.018067887120373827,0.14363841985097026,0.17218416057118519,0.07702835488880311,0.17885324664269575
1.0,full_fp32_trained,rope,attack_nauc,6,0.8661324148115633,0.03969481100957742,0.045829956633378584,0.8503553798623552,0.014929868951443492,0.847888068740039,0.8818009903098287,0.8232463497812192,0.933488887205197
1.0,full_fp32_trained,rope,noise_nauc,6,0.9991560137857362,0.0007581884701680147,0.0007588289113081436,0.9991591806539951,0.0005004512499141023,0.9988822846174306,0.9996378505763327,0.9979438228550429,1.0000865053956967
1.0,full_fp32_trained,rope,noise_minus_attack_gap,6,0.13302359897417285,0.03954922706493875,0.2973098560701054,0.14857994762800075,0.015055480171094815,0.11725937288660337,0.15040781269139497,0.06630526062256092,0.1768401556144774
1.0,full_fp32_trained,sinusoidal,attack_nauc,6,0.7663660668996223,0.03852055422681634,0.05026390897323187,0.7731699940517633,0.03170664393431011,0.7359890619736581,0.7926236899170302,0.7163501269281903,0.812802613212941
1.0,full_fp32_trained,sinusoidal,noise_nauc,6,0.998784717360999,0.0010587843003512444,0.0010600725881637206,0.9988750834290187,0.0009131069343824572,0.9979397548008845,0.9995217490312447,0.997466114892937,1.0001267395915265
1.0,full_fp32_trained,sinusoidal,noise_minus_attack_gap,6,0.23241865046137677,0.03897735583136166,0.16770321897140048,0.2265432512872958,0.03380206458821866,0.20550758115055415,0.2635326870575867,0.18496692126442316,0.2821002888432552
