regime,family,seed,budget,rho,accuracy,accuracy_percent,attack_loss,restart_loss_min,restart_loss_max,restart_loss_spread,source_index
full_fp32_trained,sinusoidal,1011,0.0095,0.08910090649978078,0.1403444485159399,11.056581986143186,4.3149170756340025,4.314826044440269,4.3149170756340025,9.103119373321533e-05,8
full_fp32_trained,sinusoidal,1011,0.01,0.09298513832292592,0.08647856357640162,6.812933025404157,4.632991859316826,4.632940723001957,4.632991859316826,5.1136314869637545e-05,9
full_fp32_trained,sinusoidal,1213,0.0,0.0,1.0,79.04157043879907,,,,0.0,0
full_fp32_trained,sinusoidal,1213,0.005,0.021947599960140094,0.9240321402483566,73.03695150115473,1.2149694147054106,1.2149008503183722,1.2149694147054106,6.856438703839451e-05,1
full_fp32_trained,sinusoidal,1213,0.006,0.03560281122383857,0.8407596785975164,66.45496535796767,1.444338311161846,1.4443043082021176,1.444338311161846,3.4002959728329785e-05,2
full_fp32_trained,sinusoidal,1213,0.007,0.05237506806905123,0.6435354273192111,50.866050808314085,2.1532695189118387,2.153202536329627,2.1532695189118387,6.698258221149445e-05,3
full_fp32_trained,sinusoidal,1213,0.0075,0.06113021943988444,0.49890430971512056,39.43418013856813,2.7479697957634928,2.7479215636849403,2.7479697957634928,4.823207855242373e-05,4
full_fp32_trained,sinusoidal,1213,0.008,0.06899722992283523,0.3608473338203068,28.521939953810623,3.344665089994669,3.3444396145641804,3.344665089994669,0.00022547543048867524,5
full_fp32_trained,sinusoidal,1213,0.0085,0.07527254592218176,0.2501826150474799,19.774826789838336,3.8341958366334437,3.834099407494068,3.8341958366334437,9.642913937568665e-05,6
full_fp32_trained,sinusoidal,1213,0.009,0.08021455899104012,0.16179693206720236,12.788683602771362,4.226857359707355,4.226596879959106,4.226857359707355,0.00026047974824905396,7
full_fp32_trained,sinusoidal,1213,0.0095,0.0850312409711743,0.1110299488677867,8.775981524249422,4.536495910584927,4.535892881453037,4.536495910584927,0.0006030291318896985,8
full_fp32_trained,sinusoidal,1213,0.01,0.08769570668589602,0.07450693937180423,5.8891454965357966,4.774461202323437,4.772112235426903,4.774461202323437,0.002348966896533966,9
amp_fp16_trained,learned,42,0.0,0.0,1.0,77.80023094688222,,,,0.0,0
amp_fp16_trained,learned,42,0.003,0.02847561018813548,0.9658627087198515,75.14434180138568,1.1593856929801405,1.159370294911787,1.1593856929801405,1.5398068353489336e-05,1
amp_fp16_trained,learned,42,0.004,0.04106758100297768,0.9421150278293134,73.29676674364896,1.2567763213068246,1.2567503438331187,1.2567763213068246,2.5977473705918186e-05,2
amp_fp16_trained,learned,42,0.0045,0.05230295447583486,0.9109461966604823,70.87182448036951,1.3454197945073247,1.3453440379351378,1.3454197945073247,7.575657218694687e-05,3
amp_fp16_trained,learned,42,0.005,0.06551406339342043,0.8489795918367347,66.05080831408776,1.5352135803550482,1.5351810016669334,1.5352135803550482,3.25786881147927e-05,4
amp_fp16_trained,learned,42,0.006,0.10987199617833691,0.0909090909090909,7.072748267898383,4.502834497392177,4.502744723856449,4.502834497392177,8.977353572792168e-05,5
amp_fp16_trained,learned,42,0.008,0.11184532304847106,0.07680890538033394,5.975750577367205,5.007387647032738,5.007358914613723,5.007387647032738,2.8732419014687594e-05,6
amp_fp16_trained,learned,123,0.0,0.0,1.0,77.68475750577367,,,,0.0,0
amp_fp16_trained,learned,123,0.003,0.021499570143852807,0.9602378298030472,74.5958429561201,1.1704353823792188,1.1704078616574407,1.1704353823792188,2.7520721778140356e-05,1
amp_fp16_trained,learned,123,0.004,0.041393951224121456,0.9100706057227796,70.6986143187067,1.3394805845804512,1.3394526741467416,1.3394805845804512,2.791043370953261e-05,2
amp_fp16_trained,learned,123,0.0045,0.054595764287848965,0.8242289111854328,64.03002309468822,1.6176895476877688,1.6176511117257177,1.6176895476877688,3.8435962051108774e-05,3
amp_fp16_trained,learned,123,0.005,0.06829444641805364,0.6510590858416946,50.57736720554273,2.2556720120832323,2.2556312756612895,2.2556720120832323,4.0736421942799694e-05,4
amp_fp16_trained,learned,123,0.006,0.08958885233752208,0.26421404682274247,20.52540415704388,3.8276410415768622,3.8275988772511482,3.8276410415768622,4.216432571402251e-05,5
amp_fp16_trained,learned,123,0.008,0.09952385375916267,0.06837606837606837,5.311778290993072,5.354319542646408,5.35424545109272,5.354319542646408,7.409155368787168e-05,6
amp_fp16_trained,learned,456,0.0,0.0,1.0,78.23325635103926,,,,0.0,0
amp_fp16_trained,learned,456,0.003,0.018296861267060458,0.9634686346863469,75.37528868360278,1.1456282975152134,1.1456035976298153,1.1456282975152134,2.469988539810508e-05,1
amp_fp16_trained,learned,456,0.004,0.03332248688306055,0.9232472324723248,72.22863741339492,1.2644831566140056,1.2644568708259611,1.2644831566140056,2.6285788044422276e-05,2
amp_fp16_trained,learned,456,0.0045,0.0471166566048538,0.8575645756457565,67.09006928406467,1.4246272983495145,1.424590782308951,1.4246272983495145,3.6516040563538965e-05,3
amp_fp16_trained,learned,456,0.005,0.09507654153240974,0.2649446494464945,20.727482678983833,3.6565899558365347,3.6564971573650835,3.6565899558365347,9.279847145116094e-05,4
amp_fp16_trained,learned,456,0.006,0.10250007858335218,0.13690036900369004,10.710161662817551,4.369452075660229,4.369362854957581,4.369452075660229,8.922070264816284e-05,5
amp_fp16_trained,learned,456,0.008,0.09804512726071114,0.06826568265682657,5.340646651270208,5.269027538597584,5.057896244525909,5.269027538597584,0.21113129407167452,6
amp_fp16_trained,learned,789,0.0,0.0,1.0,78.00230946882218,,,,0.0,0
amp_fp16_trained,learned,789,0.003,0.02092908994666116,0.9748334566987417,76.03926096997691,1.1709548190236092,1.1709425456821918,1.1709548190236092,1.227334141740144e-05,1
amp_fp16_trained,learned,789,0.004,0.032449155853961915,0.9411547002220577,73.41224018475751,1.2745876381639392,1.2745686145499349,1.2745876381639392,1.902361400429875e-05,2
amp_fp16_trained,learned,789,0.0045,0.042905334326431066,0.9115470022205774,71.10277136258661,1.3678776135668158,1.3678554582409561,1.3678776135668158,2.2155325859696262e-05,3
amp_fp16_trained,learned,789,0.005,0.05511112350628988,0.8316062176165803,64.86720554272517,1.5748626364395022,1.5748385157436133,1.5748626364395022,2.4120695888862898e-05,4
amp_fp16_trained,learned,789,0.006,0.10131931139064532,0.10806809770540339,8.429561200923787,4.398570187389851,4.398502457141876,4.398570187389851,6.773024797457339e-05,5
amp_fp16_trained,learned,789,0.008,0.09445162726786785,0.07364914877868245,5.744803695150115,5.469703401625156,5.469665762782097,5.469703401625156,3.7638843059184524e-05,6
amp_fp16_trained,learned,1011,0.0,0.0,1.0,77.74249422632795,,,,0.0,0
amp_fp16_trained,learned,1011,0.003,0.24749272810274703,0.7274415150389899,56.55311778290993,1.9038233051076532,1.903750509954989,1.9038233051076532,7.279515266422898e-05,1
amp_fp16_trained,learned,1011,0.004,0.24177947237378303,0.20831786112142592,16.195150115473442,3.9236806467175485,3.9236223220825197,3.9236806467175485,5.8324635028750293e-05,2
